cnt, cg_residual
902,4.22464e-05
903,4.0013e-05
904,3.92306e-05
905,3.86643e-05
906,3.72879e-05
907,3.86953e-05
908,3.72225e-05
909,3.35184e-05
910,3.64956e-05
911,3.60273e-05
912,3.55501e-05
913,3.56714e-05
914,3.62977e-05
915,3.49025e-05
916,3.33666e-05
917,3.2096e-05
918,3.29786e-05
919,3.36824e-05
920,3.29035e-05
921,2.78596e-05
922,3.06104e-05
923,2.93597e-05
924,3.04682e-05
925,2.96139e-05
926,3.00608e-05
927,3.07777e-05
928,2.98243e-05
929,2.89148e-05
930,2.8095e-05
931,2.64605e-05
932,2.4262e-05
933,2.5138e-05
934,2.50626e-05
935,2.49065e-05
936,2.43302e-05
937,2.51882e-05
938,2.21672e-05
939,2.53062e-05
940,2.51252e-05
941,2.55386e-05
942,2.12847e-05
943,2.49642e-05
944,2.41287e-05
945,2.36504e-05
946,2.27577e-05
947,2.16368e-05
948,2.19243e-05
949,2.20156e-05
950,1.83062e-05
951,2.1399e-05
952,2.14225e-05
953,2.0676e-05
954,2.03632e-05
955,2.04204e-05
956,1.93067e-05
957,1.96953e-05
958,1.91257e-05
959,2.00644e-05
960,1.98027e-05
961,1.94265e-05
962,1.92728e-05
963,1.86314e-05
964,1.77442e-05
965,1.84458e-05
966,1.736e-05
967,1.80645e-05
968,1.77518e-05
969,1.58283e-05
970,1.74541e-05
971,1.77773e-05
972,1.73785e-05
973,1.696e-05
974,1.68791e-05
975,1.61253e-05
976,1.63562e-05
977,1.58667e-05
978,1.52484e-05
979,1.34499e-05
980,1.48166e-05
981,1.51317e-05
982,1.51322e-05
983,1.52957e-05
984,1.51724e-05
985,1.45505e-05
986,1.3931e-05
987,1.46113e-05
988,1.43905e-05
989,1.44567e-05
990,1.3764e-05
991,1.06352e-05
992,1.36406e-05
993,1.39717e-05
994,1.35856e-05
995,1.31557e-05
996,1.30321e-05
997,1.28952e-05
998,1.23454e-05
999,1.21089e-05
1000,1.22955e-05
1001,1.23554e-05
1002,1.0914e-05
1003,1.2257e-05
1004,1.19057e-05
1005,1.15836e-05
1006,1.14462e-05
1007,9.6791e-06
1008,1.12536e-05
1009,1.0721e-05
1010,1.09884e-05
1011,1.09154e-05
1012,1.08223e-05
1013,1.07785e-05
1014,1.04789e-05
1015,9.22879e-06
1016,1.02174e-05
1017,9.92268e-06
1018,9.17541e-06
1019,9.87171e-06
1020,9.76319e-06
1021,9.63337e-06
1022,9.42762e-06
1023,8.03154e-06
1024,9.22949e-06
1025,9.10466e-06
1026,9.06204e-06
1027,9.09932e-06
1028,8.87382e-06
1029,8.60814e-06
1030,8.37782e-06
1031,8.25923e-06
1032,7.93343e-06
1033,7.14197e-06
1034,7.2133e-06
1035,7.59132e-06
1036,7.81262e-06
1037,7.72343e-06
1038,7.60918e-06
1039,6.24865e-06
1040,7.57378e-06
1041,7.53653e-06
1042,7.31478e-06
1043,7.4201e-06
1044,7.27428e-06
1045,6.92393e-06
1046,6.88625e-06
1047,6.63826e-06
1048,6.8687e-06
1049,6.46318e-06
1050,5.97848e-06
1051,6.24058e-06
1052,6.35683e-06
1053,6.29914e-06
1054,6.20419e-06
1055,5.3369e-06
1056,6.17014e-06
1057,6.15647e-06
1058,6.0753e-06
1059,5.82799e-06
1060,5.58276e-06
1061,5.50368e-06
1062,5.49857e-06
1063,5.25203e-06
1064,5.41714e-06
1065,5.23732e-06
1066,4.83465e-06
1067,5.19473e-06
1068,5.12165e-06
1069,5.0009e-06
1070,4.89269e-06
1071,4.68494e-06
1072,4.79966e-06
1073,4.7225e-06
1074,4.71853e-06
1075,4.55203e-06
1076,4.41749e-06
1077,4.36464e-06
1078,4.24255e-06
1079,4.25315e-06
1080,4.17933e-06
1081,4.09922e-06
1082,3.6481e-06
1083,4.05207e-06
1084,4.01437e-06
1085,3.97767e-06
1086,3.74961e-06
1087,3.5848e-06
1088,3.46676e-06
1089,3.44466e-06
1090,3.57473e-06
1091,3.44604e-06
1092,3.31506e-06
1093,3.40281e-06
1094,3.25799e-06
